"feature_5","Sum(order)","feature5OrderRatio","orderSumAllItems"
96,3944,0.0026295191526867897,1499894
97,8287,0.005525057104035351,1499894
98,2051,0.0013674299650508635,1499894
99,10060,0.006707140637938414,1499894
100,1,0.0000006667137811071983,1499894
101,6945,0.004630327209789491,1499894
102,1314,0.0008760619083748585,1499894
103,183,0.00012200862194261728,1499894
104,32,0.000021334840995430345,1499894
105,8795,0.005863747704837809,1499894
106,3612,0.0024081701773592,1499894
107,132,0.00008800621910615017,1499894
108,29759,0.019840735411969113,1499894
109,676,0.000450698516028466,1499894
110,1,0.0000006667137811071983,1499894
111,4342,0.0028948712375674547,1499894
112,1096,0.0007307183040934893,1499894
113,8,0.000005333710248857586,1499894
114,107,0.00007133837457847021,1499894
115,1956,0.0013040921558456799,1499894
116,1069,0.000712717032003595,1499894
117,22938,0.015293080711036914,1499894
118,1861,0.001240754346640496,1499894
119,293,0.00019534713786440908,1499894
120,710,0.00047336678458611073,1499894
121,4601,0.003067550106874219,1499894
122,42074,0.02805131562630426,1499894
123,6366,0.004244299930528424,1499894
124,2572,0.001714787845007714,1499894
125,51,0.00003400240283646711,1499894
126,12212,0.008141908694881106,1499894
127,9161,0.006107764948723043,1499894
128,2771,0.0018474638874480464,1499894
129,3852,0.0025681814848249277,1499894
130,1754,0.0011694159720620257,1499894
131,2853,0.0019021344174988365,1499894
132,29520,0.019681390818284492,1499894
133,3294,0.002196155194967111,1499894
134,733,0.0004887012015515763,1499894
135,1,0.0000006667137811071983,1499894
136,198,0.00013200932865922526,1499894
137,7712,0.005141696679898713,1499894
138,389,0.0002593516608507001,1499894
139,4753,0.003168890601602513,1499894
140,7706,0.005137696397212069,1499894
141,6775,0.004516985867001268,1499894
142,174,0.0001160081979126525,1499894
143,46,0.00003066883393093112,1499894
144,129119,0.08608541670278033,1499894
145,231,0.0001540108834357628,1499894
146,8087,0.005391714347813912,1499894
147,7048,0.004698998729243533,1499894
148,3004,0.0020028081984460235,1499894
149,2537,0.0016914528626689618,1499894
150,8,0.000005333710248857586,1499894
151,28055,0.018704655128962445,1499894
152,2157,0.0014381016258482265,1499894
153,1053,0.0007020496115058797,1499894
154,2232,0.0014881051594312666,1499894
155,17,0.00001133413427882237,1499894
156,15986,0.010658086504779672,1499894
157,2,0.0000013334275622143966,1499894
158,324,0.00021601526507873222,1499894
159,5621,0.0037475981636035612,1499894
160,513,0.0003420241697079927,1499894
161,6633,0.004422312510084046,1499894
162,1733,0.0011554149826587745,1499894
163,26343,0.01756324113570692,1499894
164,263,0.00017534572443119313,1499894
165,3048,0.00203214360481474,1499894
166,4658,0.0031055527923973293,1499894
167,619,0.0004126958305053557,1499894
168,776,0.0005173698941391858,1499894
169,118,0.0000786722261706494,1499894
170,70,0.00004666996467750388,1499894
171,1459,0.0009727354066354023,1499894
172,1683,0.0011220792936034146,1499894
173,148,0.00009867363960386534,1499894
174,120,0.00008000565373286379,1499894
175,10196,0.006797813712168994,1499894
176,3580,0.0023868353363637696,1499894
177,587,0.0003913609895099254,1499894
178,5726,0.0038176031106198173,1499894
179,619,0.0004126958305053557,1499894
180,1761,0.001174082968529776,1499894
181,12,0.000008000565373286378,1499894
182,718,0.00047870049483496834,1499894
183,271,0.0001806794346800507,1499894
184,1266,0.000844059646881713,1499894
185,4618,0.0030788842411530416,1499894
186,1668,0.0011120785868868066,1499894
187,6075,0.004050286220226229,1499894
188,4516,0.0030108794354801074,1499894
189,585,0.00039002756194771095,1499894
190,6936,0.004624326785759527,1499894
