"Sum(order)","category","parent_category"
2182,691,458
6398,692,3819
343,693,708
1078,694,2391
71,695,3096
,696,2364
,697,2364
3451,698,3337
3538,699,3703
,700,3037
3078,701,3707
3146,702,2213
245,703,1623
74,704,1065
717,705,3772
3,706,521
,707,252
,708,3896
15,709,464
,710,3233
742,711,2956
2000,712,3137
2189,713,2191
,714,2231
6104,715,1566
,716,2534
,717,516
307,718,1929
,719,3174
601,720,1035
45,721,2882
,722,2364
675,723,1346
55,724,2208
59,725,1735
,726,582
47,727,893
,728,2364
,729,2369
22,730,22
1017,731,3623
10296,732,844
149,733,3096
508,734,2803
793,735,238
920,736,2771
196,737,181
1805,738,2478
,739,301
955,740,3643
4272,741,2134
8770,742,2364
619,743,2045
9997,744,73
423,745,238
263,746,2803
35370,747,857
30,748,3326
544,749,3687
971,750,378
7920,751,1841
877,752,1709
5,753,591
,754,3898
163,755,1380
71,756,36
830,757,119
22,758,1666
12853,759,489
418,760,544
,761,1102
66,762,3197
89,763,754
,764,2364
258,765,832
11772,766,2915
17845,767,2231
957,768,490
28,769,3808
982,770,2364
1885,771,1152
,772,252
479,773,1637
3718,774,3144
1127,775,998
921,776,3488
24834,777,3027
,778,1596
1259,779,1010
4,780,2284
45,781,3550
192,782,689
428,783,576
173,784,2914
2075,785,3703
60,786,2815
,787,3870
64,788,3230
6457,789,2832
,789,1178
6457,789,2832
,789,1178
,790,2328
,791,2364
50,792,3891
998,793,3488
3474,794,3487
6179,795,1451
74,796,1151
399,797,778
418,798,3719
313,799,1477
191,800,3007
,801,3795
,802,678
43854,803,1543
20,804,3509
146,805,2719
4640,806,3027
4752,807,2346
1500,808,3849
,809,1451
,810,3609
731,811,1496
277,812,1231
29955,813,2012
181,814,1245
4,815,1410
,816,225
41,817,257
,818,2534
13,819,3707
,819,1841
13,819,3707
,819,1841
2641,820,3859
30,821,1825
24,822,307
81,823,1468
1492,824,3137
127,825,1191
2664,826,3764
149,827,3598
1,828,271
2864,829,2182
901,830,791
74,831,2212
,832,1151
,833,3354
,834,3624
47,835,490
9020,836,3027
407,837,2486
24,838,2051
7099,839,2924
444,840,3598
,841,3624
,842,1480
55,843,1640
396,844,1111
,845,2094
3237,846,1320
795,847,2838
63,848,2169
409,849,353
570,850,1520
166,851,3321
5,852,1677
796,853,2182
14,854,2719
12134,855,1178
1247,856,582
,857,3898
,858,1911
450,859,2326
549,860,422
,861,2231
12090,862,3207
,863,3616
73,864,3175
50,865,1420
12,866,3553
,867,3863
,868,380
1598,869,728
7601,870,431
25046,871,621
,872,2364
49,873,1640
,874,1480
,874,3792
,874,1480
,874,3792
,875,3898
282,876,872
716,877,3630
35,878,707
2233,879,3000
731,880,2094
43,881,119
,882,2364
171,883,235
285,884,2976
,885,1254
300,886,1666
,887,2174
28706,888,452
295,889,1666
35,890,215
582,891,215
942,892,2915
,893,3207
,893,992
,893,3207
,893,992
,894,3624
66,895,2201
226,896,484
,896,875
226,896,484
,896,875
42,897,3007
,898,3193
24,899,665
501,900,1814
848,901,1641
156,902,2142
966,903,2413
,904,1439
66,905,1305
3871,906,714
256,907,441
,908,2364
52,909,608
,910,3686
1733,911,172
11,912,2364
564,913,2027
9740,914,3565
1063,915,1559
,915,3685
1063,915,1559
,915,3685
33,916,2543
199,917,3849
,918,2364
177,919,2114
49,920,3772
1399,921,34
7974,922,2917
,923,2364
562,924,3792
194,925,2763
564,926,2061
615,927,2155
932,928,2802
130,929,350
,930,2903
1608,931,3590
,932,1367
541,933,2566
102,934,3330
11075,935,2302
192,936,441
511,937,3465
1430,938,2086
1178,939,844
804,940,413
3369,941,3122
,942,2391
,943,1484
11,944,3498
3602,945,918
31,946,1106
106,947,1709
1061,948,264
920,949,1499
37,950,1147
,951,2110
67,952,3096
2761,953,1448
1160,954,1941
3370,955,638
2755,956,1191
785,957,2627
128,958,672
,959,3898
,960,3498
26,961,2688
14,962,3196
,963,3037
13,964,509
,965,3898
2,966,1837
6,967,714
75,968,361
,969,1320
35,970,665
,971,2043
1,972,1953
119,973,2763
29,974,2018
6125,975,2475
24,976,2745
2300,977,1054
6639,978,1054
,979,3863
,980,350
2454,981,1890
,982,275
1064,983,1089
191,984,3096
366,985,1872
,986,62
2622,987,3137
,987,3178
,987,3685
2622,987,3137
,987,3178
,987,3685
2622,987,3137
,987,3178
,987,3685
,988,3037
,989,761
57587,990,3781
13026,991,2793
,991,3685
13026,991,2793
,991,3685
,992,3207
9519,993,2045
1294,994,1010
553,995,882
840,996,726
501,997,857
,998,3860
244,999,3567
23028,1000,2471
212,1001,447
24314,1002,2720
448,1003,844
266,1004,2142
87,1005,1420
5216,1006,3605
425,1007,3687
403,1008,458
1135,1009,687
220,1010,2894
411,1011,1031
1331,1012,1888
12947,1013,2231
,1014,982
15,1015,599
1189,1016,225
4,1017,3794
4,1018,1084
34,1019,1035
,1020,223
651,1021,422
398,1022,3210
,1023,2328
430,1024,238
32,1025,157
,1026,3870
154,1027,1265
779,1028,696
350,1029,2956
49,1030,2182
,1031,2266
14106,1032,2924
2600,1033,2012
,1034,2760
,1035,2377
77,1036,1035
72,1037,3572
773,1038,1880
,1039,3097
192,1040,1162
810,1041,2061
1026,1042,3027
687,1043,2141
,1044,2988
2338,1045,3617
2205,1046,1967
16,1047,2688
518,1048,1520
2,1049,2346
,1050,2364
396,1051,3097
10,1052,521
3339,1053,3477
,1054,2657
492,1055,2012
,1056,2395
20,1057,2201
25,1058,1582
19999,1059,3045
57740,1060,1565
,1061,2006
,1062,3898
2002,1063,2094
4346,1064,2802
,1065,678
2713,1066,3289
,1067,3160
190,1068,1065
642,1069,2109
8182,1070,1599
37,1071,1258
,1072,3898
431,1073,600
,1074,1648
3,1075,858
76,1076,1035
404,1077,998
348,1078,3829
304,1079,2212
,1079,3544
304,1079,2212
,1079,3544
3303,1080,1468
11,1081,2377
2597,1082,2231
7590,1083,148
,1084,2364
18804,1085,2928
172,1086,1853
685,1087,2516
2207,1088,458
,1089,1735
88,1090,2109
11111,1091,431
,1092,334
320,1093,2061
96,1094,2701
3389,1095,3056
528,1096,3796
205,1097,1147
5366,1098,566
772,1099,40
148,1100,2388
63,1101,1929
,1102,3898
,1103,1115
,1104,1985
15,1105,164
,1106,2364
,1107,761
40,1108,190
8,1109,313
11288,1110,2915
,1111,772
1103,1112,2266
148,1113,2394
1843,1114,1061
,1115,1677
439,1116,238
,1117,477
10843,1118,2720
286,1119,472
,1120,2734
595,1121,2894
121,1122,275
118,1123,1832
43386,1124,1543
650,1125,2401
118,1126,2752
,1127,2917
347,1128,3123
56,1129,3609
585,1130,2655
37,1131,1534
23,1132,484
5405,1133,2302
,1134,34
61,1135,1044
863,1136,452
32,1137,36
11193,1138,148
,1139,1010
31,1140,201
634,1141,1888
5,1142,2211
1,1143,3863
11,1144,3707
,1145,3863
1681,1146,1853
469,1147,151
,1148,1062
,1149,599
,1150,1924
,1151,2364
,1152,2364
,1153,2043
,1154,2364
195,1155,1245
503,1156,1245
463,1157,2882
2767,1158,2364
515,1159,3703
1717,1160,2824
,1161,2763
,1162,2516
614,1163,2991
5265,1164,621
75,1165,3794
103,1166,1161
35,1167,2815
206,1168,2812
1248,1169,1061
1938,1170,100
1,1171,1493
25,1172,521
2228,1173,3027
5145,1174,1678
,1175,1735
7550,1176,566
199,1177,320
,1178,2012
15447,1179,861
6,1180,2544
122,1181,739
4251,1182,101
994,1183,3581
1075,1184,275
757,1185,1082
3283,1186,1712
5,1187,3772
1223,1188,3703
106,1189,3772
1,1190,1014
,1191,2364
1,1192,3498
1333,1193,319
,1194,575
136,1195,2086
590,1196,1567
,1197,2364
50,1198,361
400,1199,2544
104,1200,3203
115,1201,1623
887,1202,336
117,1203,696
40,1204,2282
1618,1205,544
,1206,2364
6,1207,2016
8,1208,1084
265,1209,238
2054,1210,2394
,1211,2364
690,1212,3288
1206,1213,2688
16,1214,1211
989,1215,3703
,1216,1562
,1217,2855
136,1218,3306
476,1219,3792
,1220,2855
2374,1221,1890
92,1222,361
,1223,366
143,1224,1968
225,1225,3550
113,1226,1151
,1227,432
1731,1228,696
2901,1229,275
572,1230,1885
,1231,2364
1766,1232,2061
6,1233,2016
8,1234,1147
55,1235,1631
809,1236,791
73,1237,844
2743,1238,148
68,1239,2803
1417,1240,3581
203,1241,3306
,1242,3183
88,1243,2991
46593,1244,2497
,1245,2364
,1246,62
420,1247,441
,1248,3488
,1249,3572
518,1250,1277
974,1251,710
1395,1252,708
,1253,3027
,1254,1062
2439,1255,1480
,1256,678
,1257,3060
,1258,484
3535,1259,3462
3477,1260,3488
166,1261,791
203,1262,2326
76,1263,301
104,1264,1061
,1265,2988
294,1266,2391
14,1267,3358
,1268,3193
202,1269,2956
294,1270,3198
1,1271,151
797,1272,181
51,1273,3122
3245,1274,3093
,1275,3656
1171,1276,2928
10,1277,3896
,1278,2264
,1279,875
,1280,3863
22,1281,3498
,1282,2231
1674,1283,215
29,1284,2314
,1285,2364
39,1286,1637
24697,1287,2134
387,1288,1161
38,1289,2133
,1290,3795
1928,1291,3089
,1292,2201
,1293,1769
17,1294,2377
100,1295,1151
8,1296,3232
26,1297,3093
1355,1298,113
51,1299,1933
289,1300,1448
872,1301,599
9,1302,2495
,1303,2346
,1304,2669
,1305,1151
243,1306,2094
101,1307,1162
35,1308,2719
421,1309,1346
,1310,2328
2403,1311,3511
661,1312,1451
734,1313,28
1074,1314,1941
,1315,3210
60,1316,1712
,1317,678
,1318,1151
,1318,2169
,1318,1151
,1318,2169
3232,1319,1511
4,1320,1049
,1321,1562
352,1322,1320
1417,1323,257
26,1324,3699
4313,1325,2036
226,1326,1790
977,1327,1282
154,1328,1774
3,1329,380
4792,1330,370
36,1331,2552
81,1332,754
596,1333,2478
173,1334,672
273,1335,2894
1622,1336,1152
364,1337,3093
18,1338,3001
,1339,3154
,1340,3330
2,1341,2584
1105,1342,3122
2833,1343,3572
120,1344,3112
837,1345,908
,1346,729
148,1347,772
4751,1348,2208
290,1349,1673
7898,1350,1932
97,1351,257
1159,1352,3096
807,1353,3703
1908,1354,1480
31,1355,858
918,1356,1134
64,1357,3699
2529,1358,600
638,1359,1035
1312,1360,1044
7136,1361,844
93,1362,1014
1712,1363,2915
23,1364,3802
1620,1365,2385
4717,1366,370
,1366,2901
4717,1366,370
,1366,2901
,1367,1987
25,1368,126
592,1369,231
3121,1370,1451
148,1371,380
34,1372,3598
12050,1373,1223
,1374,2364
,1375,3037
73,1376,3598
,1377,2328
616,1378,3358
,1379,1175
,1380,959
,1381,959
1829,1382,319
614,1383,2976
15,1384,3643
694,1385,3707
,1386,1924
665,1387,1279
454,1388,3647
4693,1389,2033
23554,1390,2762
185,1391,1317
730,1392,3189
776,1393,1191
1281,1394,726
41669,1395,3233
,1396,2622
41,1397,3707
186,1398,566
82,1399,2894
,1400,1020
1382,1401,1929
7624,1402,3288
557,1403,2433
292,1404,257
2450,1405,2155
,1406,1875
69,1407,3160
67,1408,3757
977,1409,3080
,1410,998
335,1411,3617
4,1412,3572
13,1413,2495
1,1414,2815
6490,1415,3027
9,1416,2438
3,1417,2377
1416,1418,1565
8,1419,1951
,1420,2364
5353,1421,298
3702,1422,1637
5805,1423,2627
43,1424,2719
5357,1425,1468
248,1426,2036
1483,1427,464
,1428,223
39,1429,42
42,1430,42
53,1431,2893
15,1432,3358
11,1433,1641
232,1434,1477
2205,1435,2364
102,1436,2364
311,1437,1134
251,1438,1231
,1439,2763
211,1440,1315
19,1441,2211
493,1442,1496
1434,1443,1082
,1444,1534
,1445,3233
1,1446,2264
1211,1447,3898
,1448,2364
735,1449,2976
365,1450,3772
,1451,2364
448,1452,1750
275,1453,264
2563,1454,1134
239,1455,1951
2207,1456,2364
1888,1457,2364
53,1458,1953
1820,1459,802
485,1460,2098
54,1461,2475
929,1462,2475
1523,1463,2475
356,1464,908
195,1465,2588
230,1466,2019
1626,1467,2475
4,1468,1115
18,1469,2160
7,1470,42
164,1471,201
2669,1472,600
1970,1473,1282
5205,1474,3417
1,1475,3232
22,1476,2741
,1477,678
47,1478,3808
202,1479,3634
,1480,3898
583,1481,2741
30405,1482,861
20,1483,1496
,1484,2086
9,1485,1148
,1486,874
,1487,874
3,1488,3623
198,1489,965
1439,1490,2019
760,1491,3119
746,1492,151
,1493,1825
10,1494,3623
18,1495,689
,1496,2364
89,1497,1899
16584,1498,1396
,1499,3761
127,1500,3488
2082,1501,298
2119,1502,1445
880,1503,27
849,1504,1315
10173,1505,1682
19,1506,2364
,1507,3556
2892,1508,1265
50,1509,887
29,1510,1317
,1511,2231
375,1512,3511
1723,1513,510
,1514,1374
68599,1515,621
,1516,599
4,1517,484
17627,1518,2901
87,1519,2213
,1520,2763
49,1521,3598
3806,1522,425
1658,1523,2231
12495,1524,1072
874,1525,778
453,1526,1765
5584,1527,2433
,1528,3898
5048,1529,1103
9,1530,1718
131,1531,1693
98,1532,1065
481,1533,1152
,1534,2364
,1535,3863
3,1536,521
2642,1537,754
1091,1538,3581
6,1539,728
1218,1540,2549
1558,1541,3119
6,1542,2213
,1543,3898
1352,1544,3347
4,1545,575
1152,1546,3764
228,1547,1648
307,1548,1231
14,1549,2364
1457,1550,1853
1367,1551,25
23,1552,1256
128,1553,1211
49,1554,3163
2283,1555,1932
364,1556,639
,1557,3898
9,1558,353
,1559,3898
3248,1560,3860
196,1561,1056
,1562,894
304,1563,1698
720,1564,2771
164,1565,3898
,1566,3896
,1567,432
83,1568,1379
5093,1569,2385
286,1570,380
285,1571,791
18,1572,1557
133,1573,3634
157,1574,3719
3,1575,2481
844,1576,3295
,1577,3060
16017,1578,2928
444,1579,2340
,1580,665
26,1581,1825
,1582,2364
836,1583,1600
,1584,252
358,1585,1623
93,1586,151
456,1587,1477
203,1588,1103
1623,1589,1134
,1590,223
5527,1591,1380
,1592,3203
145,1593,490
490,1594,1162
,1595,761
76,1596,1565
275,1597,2584
1018,1598,1448
,1599,3014
145,1600,2497
415,1601,1211
62,1602,1623
,1603,686
555,1604,3841
647,1605,1104
4,1606,772
154,1607,3383
1200,1608,2481
131,1609,872
112,1610,3508
185,1611,2211
2726,1612,3383
8,1613,608
884,1614,2394
454,1615,1942
641,1616,1693
346,1617,3550
78,1618,51
111,1619,2094
5,1620,3498
14,1621,2061
,1622,2893
,1623,1825
87,1624,2958
5,1625,3772
4399,1626,1599
5216,1627,2457
4318,1628,621
716,1629,1134
667,1630,754
,1631,2364
,1632,2211
458,1633,3451
844,1634,3123
1479,1635,1265
3873,1636,708
,1637,1825
5289,1638,252
13,1639,2133
,1640,2364
,1641,2369
58,1642,1499
39,1643,2314
1,1644,15
,1645,1305
1306,1646,1712
319,1647,1709
,1648,2364
200,1649,2882
8789,1650,2542
725,1651,2438
33,1652,234
,1653,3002
747,1654,3383
81,1655,872
5143,1656,918
4157,1657,600
29,1658,2438
452,1659,1104
18,1660,2133
67,1661,3884
34,1662,1684
27,1663,654
1706,1664,861
340,1665,2845
,1666,3898
6569,1667,510
18260,1668,2012
35,1669,1065
1299,1670,3328
654,1671,930
1468,1672,2141
,1673,2588
216,1674,1065
1630,1675,3178
,1676,556
,1677,3898
,1678,2542
194,1679,3609
2770,1680,2364
8289,1681,3368
,1682,3898
1153,1683,3295
,1684,2392
22129,1685,488
124,1686,2719
971,1687,215
380,1688,2364
74,1689,490
93,1690,301
59,1691,1623
161,1692,1648
,1693,2364
5940,1694,600
,1695,2364
1006,1696,447
3448,1697,2164
,1698,519
19,1699,3458
,1700,2328
533,1701,1778
94,1702,1623
3065,1703,714
6554,1704,2231
7478,1705,370
999,1706,3093
2544,1707,15
9521,1708,1796
,1709,3233
178,1710,1584
5947,1711,1932
,1712,1825
,1713,510
7,1714,1317
22,1715,2575
31,1716,380
,1717,1924
,1718,3508
219,1719,2364
87,1720,3792
27,1721,3772
60,1722,1231
87,1723,2388
91,1724,2524
3717,1725,2972
104,1726,729
13,1727,1367
764,1728,2169
403,1729,600
2127,1730,708
194,1731,2213
1063,1732,1065
58,1733,1211
2119,1734,1623
,1735,3898
9,1736,2133
111,1737,3772
1671,1738,2444
,1739,2346
249,1740,2688
466,1741,1735
60,1742,2098
,1743,275
152,1744,34
21,1745,3794
2545,1746,162
871,1747,3080
2273,1748,696
823,1749,600
,1750,2364
,1751,1561
664,1752,556
1162,1753,1496
1076,1754,488
507,1755,2377
146,1756,1623
916,1757,3085
63,1758,2956
186,1759,2142
116333,1760,2762
289,1761,126
7,1762,1769
140272,1763,3898
531,1764,257
,1765,432
197,1766,2036
264,1767,1231
,1768,3203
,1769,2391
,1769,464
,1769,2391
,1769,464
16,1770,1151
,1770,2169
16,1770,1151
,1770,2169
225,1771,3154
29185,1772,1682
,1773,3217
,1774,2784
7989,1775,3056
68,1776,2003
299,1777,3703
,1778,729
2048,1779,1623
1272,1780,2647
23,1781,1065
60,1782,2282
2,1783,672
219,1784,1693
1120,1785,2832
33,1786,27
,1787,1265
6,1788,3232
3718,1789,2169
,1790,3898
58,1791,361
2455,1792,2703
61670,1793,2231
3550,1794,1623
69,1795,1666
6825,1796,772
6,1797,3773
804,1798,1010
134,1799,3830
2162,1800,1062
,1800,3306
2162,1800,1062
,1800,3306
358,1801,3609
2,1802,1258
6438,1803,1223
102,1804,697
,1805,1534
2,1806,754
21157,1807,1072
5811,1808,3417
106,1809,2016
21,1810,190
3251,1811,1899
,1812,2231
7,1813,725
,1814,2364
1,1815,42
140,1816,2364
86,1817,238
848,1818,153
2347,1819,1103
1038,1820,1841
,1821,3624
333,1822,1852
138,1823,126
1207,1824,1567
,1825,3898
290,1826,1206
339,1827,710
,1828,190
,1829,3607
,1830,3863
2,1831,3487
,1832,992
22,1833,1582
1299,1834,40
76,1835,375
303,1836,2524
,1837,1115
5,1838,3498
,1839,3217
,1840,3898
,1841,3707
,1842,575
1530,1843,3707
1164,1844,2976
33,1845,3802
1622,1846,1750
2833,1847,3831
699,1848,3329
7710,1849,875
47,1850,2098
2111,1851,1899
,1852,2364
,1853,2177
331,1854,822
813,1855,608
279,1856,1026
36,1857,3830
290,1858,1899
1028,1859,1751
257,1860,1623
119,1861,164
2687,1862,882
83,1863,3703
,1864,2457
826,1865,1065
396,1866,2326
,1867,2364
2754,1868,3609
1822,1869,3829
251,1870,3598
282,1871,2364
,1872,1677
337,1873,2061
3901,1874,1277
,1875,2364
88,1876,3609
3,1877,556
508,1878,3487
