"itemID","Mean(date&time diff)","Sum(order)"
487,52.5,8
488,29,2
489,56.55555555555555,25
491,31.5,2
493,38.35294117647059,21
497,53.16666666666667,8
499,54.86956521739132,54
502,50.00000000000001,14
505,72.33333333333333,4
506,44.91304347826087,31
507,8,2
514,36.82352941176471,26
515,41,2
516,59.25,4
518,29.57142857142857,24
521,39.523809523809526,47
522,33.33333333333333,3
523,35.888888888888886,10
524,32.6,26
532,28,3
533,42.416666666666664,12
536,41.87999999999999,53
538,49.588235294117645,25
539,85,2
541,42.72340425531914,111
542,80,2
543,53.5,36
544,91.5,3
546,47.25,9
548,18,4
549,39,6
550,53.18095238095241,116
552,46.102739726027394,367
554,41.18181818181817,52
562,32.82222222222221,75
566,42.5,2
567,3.5,28
568,42.5,2
569,59.5,4
570,72.5,2
574,44,4
576,24.25,4
586,17.214285714285715,15
587,39.36734693877555,145
592,12,2
594,26.875,13
595,41.85714285714286,7
602,43.33333333333333,24
604,45.21621621621621,171
607,50.62500000000001,35
608,56.199999999999996,7
610,27,5
612,37.2258064516129,38
617,87,4
619,121,2
624,50.00000000000001,8
625,60.75,4
628,23,2
632,34,2
635,39.45454545454546,55
637,56.489071038251396,1075
643,56.25000000000001,10
644,41.333333333333336,3
646,34.5,8
655,60.5,2
656,43.921568627450974,101
659,49.71428571428572,7
662,23,2
664,33.17647058823529,19
671,33.5,5
673,28.5,2
674,40,10
678,30.333333333333332,8
679,32.6,5
684,30.5,6
686,38.33333333333333,3
687,17.5,4
688,19.363636363636367,12
689,53.66666666666666,3
691,65.5,43
692,45.74576271186445,127
693,21.25,11
694,74.7,14
695,21.714285714285715,8
697,48.10937499999998,65
702,19.666666666666664,5
703,61,3
705,42.333333333333336,6
711,6,2
712,114.5,2
714,49,2
715,44.72093023255814,63
716,53.062500000000014,16
717,72.5,2
718,19.5,2
722,16,3
727,38.8,7
729,21,6
732,17.5,10
733,44.75,5
735,34,3
738,32.407407407407405,31
739,45.233333333333334,33
740,63,4
741,28.5,2
742,82,3
743,37.31999999999999,33
750,42.468750000000036,165
751,60.9375,22
753,65.75,14
754,33.833333333333336,9
756,22.8,14
758,52.85714285714286,7
760,51.400000000000006,5
761,48,6
762,20.78571428571429,24
763,26.200000000000003,9
764,58.57142857142858,8
770,35.25,4
772,28.58333333333333,12
773,32.919999999999995,26
775,61.833333333333336,9
778,68.5,8
784,62,2
792,57.545454545454554,17
793,56.5,2
794,4.5,2
795,82,7
796,19.666666666666664,12
797,79.88888888888887,10
798,65.66666666666666,3
800,35.25,18
803,61.5,11
805,33,2
808,51.99999999999999,41
809,47.42857142857142,31
810,17.400000000000002,6
814,37,3
820,56.75,4
823,38.800000000000004,5
824,50.46153846153845,15
827,62,2
829,15,3
832,23.285714285714285,7
833,37.27586206896551,41
836,52.33333333333333,4
838,54.666666666666664,22
840,37.833333333333336,402
841,66.33333333333333,7
844,31.999999999999996,3
845,37.1,13
848,5.625000000000001,23
850,73,6
852,38,6
854,37.73809523809524,70
858,45.75,9
860,40.25,10
864,56.5,4
866,57.16666666666667,39
868,40.375,9
873,25.666666666666664,6
875,49.416666666666664,442
877,45.34482758620689,38
878,44.83333333333333,24
879,37.5,2
880,44.16666666666667,20
882,46.163157894736855,282
883,32.71428571428571,25
885,19.4,6
888,61.55555555555555,11
890,41.2,12
895,52.210526315789465,35
896,69.5,6
897,12.999999999999998,4
900,11.666666666666666,5
902,32.5,3
913,44.03999999999999,68
915,7.833333333333334,7
918,59.20833333333333,52
920,30,2
923,53.92982456140349,88
924,12,3
932,54.25,7
934,45,2
935,20,2
938,37.5901639344262,69
939,15.999999999999998,4
941,78.5,2
944,36,5
945,17,19
946,77.5,5
947,47.5,3
948,48.33333333333333,3
950,56.199999999999996,45
953,33.33333333333334,8
954,33,2
955,61.714285714285715,8
956,48.5,4
960,36.75,9
965,48.5,4
967,42.7439024390244,155
970,44.57142857142857,13
975,42.11111111111111,16
979,29.699999999999996,25
981,10.5,2
986,41.888888888888886,13
992,61.5,2
993,43.5,2
999,43,6
1002,32.5,18
1005,61.8,9
1009,47.499999999999986,42
1012,23.75,5
1013,43.5,2
1014,32.333333333333336,7
1016,42.260869565217384,23
1017,38.833333333333336,6
1020,33,5
1021,43,5
1024,38.75,11
1027,36.5,15
1029,46.25,4
1030,41.25,4
1031,69.66666666666666,36
1032,57.25,6
1033,41.111111111111114,15
1034,56.5,2
1035,1,2
1037,54,7
1038,30.5,2
1040,45.5,3
1042,44.526315789473685,53
1044,67.27272727272727,19
1049,18,4
1051,45.30434782608696,24
1054,3.5,4
1059,12,2
1060,24.066666666666666,47
1061,52.28124999999999,39
1063,41.83333333333334,10
1064,42.860465116279066,90
1066,50.05714285714285,36
1067,43.75,13
1068,69.66666666666666,6
1069,53.41509433962262,75
1075,46.95321637426905,191
1077,79.5,4
1079,70.38888888888889,21
1081,49.142857142857146,7
1083,37.125,10
1085,14.5,4
1090,59.5,3
1094,6,2
1099,11.75,4
1104,64,2
1105,48.6233766233766,80
1106,38,2
1109,27.833333333333332,30
1118,56.25,6
1120,43,3
1123,6,2
1125,10.5,4
1128,44.127659574468076,50
1130,43.42424242424242,67
1134,75,2
1141,41.45454545454545,17
1143,38.15151515151516,52
1147,36.5,2
1152,60.85714285714285,28
1154,32.625,9
1160,41.84,62
1163,37.857142857142854,14
1170,26.5,2
1173,30.272727272727273,15
1174,49.875,11
1180,8.666666666666666,5
1182,103.5,2
1183,47.25,6
1185,30.5,2
1191,20.571428571428573,20
1200,45.99999999999999,11
1201,26,2
1211,42.400000000000006,14
1216,40.454545454545446,13
1219,14,2
1222,65.66666666666666,4
1224,109.5,2
1226,66.4,7
1227,73.5,2
1232,64.5,9
1234,47.23076923076923,13
1236,46.25,141
1239,38.66666666666665,65
1242,45.875,19
1245,70.5,3
1247,17.333333333333336,9
1248,48.5,2
1249,55.380952380952365,29
1250,37.875,8
1252,48.89473684210526,319
1253,33.666666666666664,72
1257,78,4
1258,10,2
1259,12.5,4
1260,51.3076923076923,26
1262,70,2
1263,55.8,10
1264,53,3
1265,21,2
1266,51,2
1269,23,2
1273,40.33333333333333,19
1274,25.22222222222222,9
1275,66,2
1276,52.42857142857143,15
1277,31.799999999999997,11
1282,27,4
1284,29.227272727272723,25
1286,48,4
1288,15.5,3
1290,49.05882352941177,52
1294,43.72549019607843,74
1295,18,3
1297,36.33333333333333,3
1298,109.5,2
1299,38.87368421052633,139
1300,26.5,2
1301,50.666666666666664,6
1303,43.666666666666664,3
1305,62,2
1306,37.55999999999999,44
1310,52.5,2
1311,46.948148148148164,177
1315,83,2
1316,66.66666666666666,3
1317,29.5,4
1319,32.99999999999999,8
1320,13.5,3
1322,38.05150214592276,288
1323,36.666666666666664,3
1325,52.242424242424256,62
1326,56.74999999999999,14
1327,58.25,11
1332,60,7
1334,57.5,4
1335,46,4
1336,37.822222222222216,123
1337,33,2
1340,52.1012658227848,142
1342,10,35
1350,34.5,12
1351,39.99999999999999,11
1352,58.86206896551723,53
1354,19.5,2
1360,35.33333333333333,7
1363,47.272727272727266,11
1367,41.71428571428571,24
1374,16.75,5
1378,52.57142857142857,10
1379,59.863636363636374,30
1388,41.6,7
1390,39.22222222222222,17
1393,40.36363636363635,25
1394,32.69230769230769,16
1397,39.75,5
1398,41.87850467289723,109
1399,48.27272727272726,13
1401,19.125,14
1405,50.17948717948718,48
1406,88,2
1408,42.24137931034483,30
1410,70,5
1414,41,25
1418,39.42857142857143,9
1422,46.857142857142854,7
1423,49.42857142857143,7
1425,55.42857142857143,9
1428,57.26666666666666,20
1432,47.5,2
1433,0,6
1434,37.5,8
1435,63.18181818181816,35
1438,6,3
1439,49,3
1443,59.87500000000001,10
1444,5,2
1449,32.77777777777778,79
1451,32.666666666666664,3
1452,58,2
1454,63.5,3
1461,30.958333333333332,65
1466,16.25,7
1467,8.25,5
1475,48.24637681159418,86
1478,56,11
1479,8,3
1483,39.00000000000001,7
1488,19.8,5
1489,32.9861111111111,115
1491,38.63636363636363,13
1492,45.875,8
1498,46,2
1501,16.5,3
1503,21,2
1504,42.111111111111114,12
1505,47.857142857142854,8
1506,20.5,2
1509,49.43181818181817,60
1517,71.33333333333333,3
1525,41.25,8
1526,64.57142857142857,14
1527,108.5,2
1532,23,4
1535,56,2
1536,18,2
1537,94.5,2
1538,44.99999999999999,7
1544,37,2
1545,62,6
1547,32,2
1548,39.29411764705882,17
1553,48,2
1556,52,2
1557,43.85294117647059,85
1558,79.5,2
1561,78.5,6
1564,2,6
1567,65.85714285714286,7
1569,24,2
1575,25.499999999999996,8
1576,53.228070175438596,68
1579,45.666666666666664,4
1584,31.799999999999997,5
1585,27.066666666666666,21
1586,45.20689655172414,67
1587,42,4
1589,33.09090909090909,11
1592,76,2
1595,58,2
1598,14,3
1600,55.5,5
1607,45.430769230769236,86
1609,63.49999999999999,9
1611,63.5,2
1613,32,4
1614,89,4
1616,60.375,9
1620,72.5,3
1625,26.75,4
1626,43.571428571428584,33
1628,50,3
1629,52.76811594202896,79
1630,33.5,4
1633,52.414201183431935,184
1634,32.5,2
1635,29,3
1638,62.42857142857143,7
1639,38.44444444444444,13
1640,55.49999999999999,15
1646,28,5
1649,51.09090909090908,35
1650,68,4
1651,43.382352941176485,38
1653,34.6,29
1655,4.5,4
1660,53.37254901960786,56
1663,46.99999999999999,7
1664,38.42105263157894,21
1677,46.45454545454545,14
1679,49.84615384615384,16
1685,15.5,2
1689,39.285714285714285,21
1690,27.75,7
1691,37.75,4
1694,27.111111111111107,9
1701,27.666666666666664,10
1704,56.92307692307691,69
1705,35.991452991453,170
1706,63.800000000000004,5
1715,23.5,4
1717,45.380952380952365,38
1719,52.6,18
1723,55,5
1724,34,38
1725,42.666666666666664,10
1726,57.4,20
1728,38.25,7
1732,48.431034482758626,300
1734,21.833333333333336,15
1736,31.55555555555555,23
1737,44.90624999999999,43
1738,77.5,2
1742,52.8,21
1743,51.57142857142858,12
1744,13.5,4
1745,50.71428571428571,11
1747,67.5,2
1748,41.07142857142857,54
1751,57,4
1752,56.4,12
1753,19.5,2
1756,49.07142857142857,34
1757,26.9,11
1760,70.5,2
1762,54,3
1765,55.25,4
1766,69,2
1781,55.573770491803245,219
1782,46.09004092769442,1452
1787,53,6
1788,70.85714285714286,11
1794,37.42857142857141,57
1797,8,3
1799,105.5,2
1801,47.599999999999994,8
1802,38.047619047619044,28
1803,54.11764705882352,140
1804,45.230769230769226,13
1806,56.375,12
1808,53,7
1809,49.5,2
1815,48.33333333333333,19
1816,62.400000000000006,11
1817,60.285714285714285,8
1818,15.5,2
1821,40.63157894736841,32
1823,30,10
1828,43.615384615384606,33
1831,38.375,91
1834,41.133333333333326,19
1835,46,2
1837,39.142857142857146,14
1838,47.33333333333334,72
1840,58.199999999999996,11
1841,37.28979591836739,304
1845,30.27272727272727,12
1846,61.800000000000004,6
1849,43.333333333333336,18
1853,50.285714285714285,16
1854,110.5,2
1855,43.666666666666664,10
1857,12,3
1862,64.5,2
1863,65,2
1867,32.36363636363637,55
1870,109,2
1871,43.33333333333333,9
1873,44.272727272727266,11
1876,35.166666666666664,6
1877,39.12,30
1883,29,2
1884,36.5,2
1893,26.76923076923077,322
1895,43.489130434782616,145
1898,40.52173913043478,34
1900,44.25,4
1903,16.333333333333332,3
1905,61,5
1906,51.5,8
1908,71.75,5
1909,28.666666666666664,3
1911,16.5,3
1916,41.75,9
1918,11.5,2
1920,35.25,10
1923,68,2
1924,43.03999999999999,34
1925,58.02325581395348,93
1926,19.5,11
1927,55.5,2
1931,62.83333333333334,10
1932,37.63934426229509,119
1933,54.5,2
1934,84.5,2
1935,48,2
1937,92,2
1942,40.583333333333336,12
1943,17,2
1944,43.24324324324325,48
1945,0,2
1947,60,8
1949,57.999999999999986,14
1952,31.826086956521735,24
1954,78.5,2
1959,72.5,6
1963,40.5,11
1964,44.01149425287355,132
1966,49.22222222222222,12
1970,48.81433021806838,2010
1971,39.75,14
1972,1.5,4
1973,33,3
1975,51.50000000000001,22
1976,76.60000000000001,6
1979,39,2
1981,45.72847682119209,171
1982,79.5,2
1987,55,24
1988,27,4
1992,3.5,3
1998,46.439999999999976,69
2000,36.50000000000001,6
2001,42.473684210526315,20
2003,44.75,8
2005,39,12
2006,40.31250000000001,20
2010,20.75,10
2012,70,2
2013,40,9
2015,86,4
2018,36.58333333333333,243
2023,59,4
2024,94,2
2025,31.70270270270271,66
2026,52.5,2
2027,32.5,3
2030,59.5,2
2034,48.99999999999999,16
2042,69.25,6
2043,56.5,2
2045,61.41666666666666,20
2047,29.90909090909091,14
2059,54,16
2060,59,6
2061,45.222222222222214,11
2062,36.07142857142857,16
2064,4.5,2
2065,43,2
2066,58.499999999999986,12
2067,48.11111111111111,9
2068,52.78666666666667,98
2070,35.5,2
2073,21,3
2074,48.652173913043484,70
2076,76,5
2078,33.94117647058823,23
2079,73,11
2083,21,3
2084,51.5,2
2085,64.5,2
2086,38,2
2087,21.857142857142858,13
2088,36.66666666666667,12
2090,48.400000000000006,5
2093,54,2
2097,36,2
2099,23,11
2103,18.5,2
2104,25.699999999999992,40
2105,27.666666666666664,3
2107,42.52380952380952,23
2108,24.5,2
2109,47.75000000000001,44
2111,43,2
2113,41.11285266457687,1880
2114,39,2
2115,40.55555555555555,9
2118,69.42857142857143,14
2128,81.60000000000001,6
2129,40.89473684210526,19
2130,45.33333333333333,82
2134,38,16
2136,67.5,5
2138,11.666666666666666,11
2147,39.14285714285714,18
2148,39,7
2151,21,4
2157,25.25,10
2160,49.28,41
2162,59.89473684210526,23
2163,46.869565217391305,26
2165,55.516129032258064,48
2168,50.6551724137931,45
2169,56.04761904761904,24
2175,42.79166666666666,71
2178,32.25,7
2180,87.5,2
2185,39.42857142857143,7
2187,46.85714285714286,13
2188,35,9
2191,82.5,2
2192,59,2
2197,39.5,2
2198,49.8,22
2199,30.333333333333332,3
2201,51,8
2204,7.5,2
2205,62.16666666666667,7
2206,91,3
2216,93.5,12
2222,74.42857142857143,7
2232,62.66666666666667,6
2233,64.5,90
2235,1,2
2236,31,7
2240,70.5,6
2242,24.799999999999997,18
2248,52,2
2253,61.25,11
2254,63.416666666666664,16
2257,42.090909090909086,57
2259,41.6,5
2260,17.5,7
2262,68,3
2264,41.73936170212767,269
2268,31.142857142857142,15
2271,74,3
2272,16.5,3
2273,13.5,2
2277,39.75,62
2278,42.833333333333336,9
2279,71,4
2281,70.66666666666666,3
2290,28.6,5
2291,66.75,5
2292,66,3
2294,60.000000000000014,13
2296,36.79220779220778,86
2299,21,3
2301,0.5,2
2306,30.5,2
2307,66.66666666666667,11
2309,4.5,2
2310,34.4,15
2314,41,4
2316,44.33333333333333,4
2318,26.6,7
2321,48.527950310559085,525
2323,55.35714285714286,20
2325,73,3
2329,45.36363636363636,47
2330,40.63636363636363,11
2335,56.60000000000001,5
2336,35.666666666666664,3
2339,40,3
2340,41.88235294117647,20
2342,3,2
2344,42.33333333333333,6
2346,57.8,11
2350,42.77272727272726,23
2352,37.5,3
2357,40.78260869565218,27
2359,50.90476190476189,21
2362,30.5,2
2363,26.444444444444443,10
2365,29.166666666666668,6
2367,21.22222222222222,10
2369,43.6,5
2373,15,2
2375,35.625,8
2379,40,3
2380,22.454545454545453,11
2382,65.36363636363636,17
2386,55.2758620689655,38
2387,56.75,4
2394,39.875,11
2397,51.73684210526317,23
2398,32.5,4
2399,51.66666666666667,6
2401,21.100000000000005,21
2403,35.800000000000004,13
2404,20.333333333333332,7
2405,32.800000000000004,72
2407,35.454545454545446,23
2408,50.25,4
2409,42,4
2417,31.911111111111115,134
2418,42.34228187919462,225
2420,34.25,4
2424,63.85714285714286,9
2426,69,2
2428,56.388429752066145,155
2429,13.999999999999998,8
2430,32.833333333333336,6
2431,44,4
2432,36.888888888888886,10
2433,35.4,8
2434,55.75,4
2437,30.428571428571423,44
2438,48.22222222222223,45
2439,77,2
2443,49,2
2445,43.25,9
2446,47.764248704663174,466
2451,67.2,10
2453,55.5,2
2454,65,5
2455,33.94736842105263,23
2456,40.18181818181819,13
2459,43.791666666666664,26
2460,55.65079365079364,66
2473,36,2
2475,44.5,10
2476,46.181818181818166,37
2477,30.500000000000004,6
2479,49.099999999999994,18
2480,30.999999999999993,12
2481,57,5
2483,46.85714285714285,9
2486,53.85714285714286,7
2491,39.55140186915887,110
2492,20.18181818181818,15
2494,48.85714285714286,9
2495,67.5,4
2500,26.166666666666664,11
2501,34.785714285714285,22
2502,13,6
2509,37.89062499999999,75
2510,38.272727272727266,11
2512,51.333333333333336,7
2513,61.5,2
2514,33.5,4
2517,49.204582651391156,798
2518,14.5,2
2519,55.53333333333333,23
2520,53.68421052631579,20
2523,63.75,4
2526,51,5
2534,52,2
2535,39.222222222222214,10
2536,36,4
2537,42.349999999999994,21
2542,41,2
2549,22.2,6
2550,48.147435897435905,181
2551,36.875,10
2552,60,8
2554,38.13725490196077,51
2561,41.42857142857144,16
2563,48.833333333333336,6
2564,15,3
2568,44,2
2570,44.14285714285714,14
2573,70.16666666666667,13
2574,63.33333333333333,6
2587,23.5,2
2588,80.80000000000001,5
2591,22.5,6
2593,109.5,2
2594,39.99999999999999,7
2596,18.5,2
2601,46.53571428571425,93
2602,4.5,3
2607,49.14285714285714,9
2609,50.7719298245614,85
2613,43.875,11
2614,26.056603773584897,121
2617,14.8,5
2620,27.25,5
2621,31.875,9
2622,2.5,4
2623,76.5,5
2626,34.931034482758626,59
2627,44.65168539325847,702
2628,35.51428571428572,42
2629,22.857142857142854,21
2634,29.285714285714285,28
2635,33.888888888888886,10
2636,31.5,5
2641,37.8,8
2643,50.00000000000001,24
2645,22.25,7
2646,48.354838709677416,35
2648,34.0625,19
2649,33,3
2654,64.625,29
2655,49.5,2
2656,5.5,20
2657,34.888888888888886,42
2658,18,2
2662,18.1,10
2663,51.703703703703695,131
2666,49,7
2667,52.95161290322579,67
2668,36,10
2669,30.826086956521742,28
2671,89,5
2674,58,14
2676,25.800000000000004,14
2677,92,2
2681,55.39130434782609,31
2682,41.81818181818183,60
2684,50.879562043795666,325
2688,8,2
2689,18.5,5
2690,50.25,4
2691,56.5,2
2692,46.39705882352946,529
2695,78.91666666666667,12
2697,2.5,2
2699,49.5,3
2702,26.846153846153847,23
2703,78,2
2711,48,2
2716,21.5,2
2717,59.75,6
2724,55.699999999999996,11
2730,57,2
2735,37,5
2736,26.666666666666664,3
2738,18,2
2742,65.65384615384613,60
2747,42.303030303030305,55
2748,45.897727272727266,95
2751,39,11
2752,11.5,3
2755,43.800000000000004,5
2756,9.5,6
2759,59.50000000000001,15
2761,40.07382550335574,824
2763,59.54545454545454,20
2766,42.50000000000001,14
2771,42.8,25
2778,42.16666666666667,25
2780,27.5,3
2781,90,3
2782,59.42857142857143,15
2783,38.714285714285715,27
2785,60.75,4
2787,48.769230769230724,574
2788,56.43137254901961,57
2789,30.333333333333332,3
2794,45,6
2797,33.33333333333333,3
2798,37,8
2802,38.70833333333333,25
2804,68,12
2807,50.77272727272727,69
2808,20.392857142857146,130
2809,24.5,2
2811,35.82500000000001,120
2814,33.5,2
2817,24.36363636363636,38
2821,49.75,12
2826,29.613636363636367,59
2827,59.400000000000006,10
2829,44.571428571428555,44
2830,6,6
2831,46.63281250000002,157
2832,48,5
2833,58.5,21
2837,53.833333333333336,34
2846,0,5
2848,70,2
2849,64.2,5
2852,0.5,2
2853,46.37499999999999,20
2855,86,6
2858,27.333333333333332,6
2859,36,15
2861,48.333333333333336,10
2867,29,2
2874,87.5,2
2876,43,17
2877,45,67
2883,51,5
2888,17,2
2889,53,2
2890,27.0625,40
2891,46.51871657754007,233
2896,39.00000000000001,25
2899,27.5,4
2903,67.5,2
2906,36.33333333333333,6
2907,56.5,2
2910,45.54545454545454,14
2911,12.75,4
2913,67,24
2916,45.64210526315789,340
2918,46.64285714285714,15
2920,30.333333333333332,28
2922,56.33333333333333,37
2924,36.65,38
2927,6,2
2929,41,21
2930,72.83333333333334,6
2933,53.5,24
2935,23.25,8
2936,38.5,2
2939,30,4
2940,60,2
2943,36.631578947368425,71
2944,33.21874999999999,59
2945,61.3,11
2947,47.3,15
2948,33.66666666666667,11
2949,70.08333333333333,17
2951,39.625,9
2953,14.5,2
2956,36,2
2957,78,4
2958,28.899999999999995,29
2962,31,16
2967,53.125,8
2968,41.75,6
2969,63,2
2970,48.142857142857146,7
2973,35.7890625,207
2974,49.10810810810811,109
2977,53.272727272727266,12
2981,44.05932203389833,159
2982,16.5,2
2983,34.5,2
2985,70.25,4
2988,0.5,4
2990,52.5,2
2991,41.99999999999999,47
2992,22.5,2
2993,27.666666666666664,15
2994,51.30769230769231,15
2999,9.5,2
3000,20,6
3002,2.5,2
3006,44.25,4
3007,104.5,2
3011,41.09302325581395,63
3013,6.5,37
3016,33,24
3019,55.53124999999999,39
3020,0.5,2
3021,52.6,28
3022,24.5,3
3026,35,2
3027,37.930000000000014,243
3028,21.5,2
3033,39.176470588235276,38
3034,36.30769230769231,26
3035,56,2
3037,33,4
3039,44.92237442922374,814
3049,49,8
3050,43.12499999999999,17
3052,75.5,5
3055,28.5,2
3056,27.63636363636363,11
3058,73.4,13
3061,48,4
3063,30,2
3066,96.5,2
3068,20.5,2
3070,99.5,2
3072,46.65116279069767,163
3074,43.670886075949355,90
3075,21,2
3077,59.5,5
3078,16.5,2
3079,54,2
3081,42.5,2
3083,56,10
3086,42.62499999999999,8
3087,51.44067796610167,122
3089,60,2
3090,38.56249999999999,17
3092,33,2
3093,13.5,4
3094,39.375,11
3096,88,10
3098,37.5,2
3099,73,5
3100,30.787878787878793,113
3101,54.5,2
3104,76,3
3108,59,3
3109,23,2
3113,38.635000000000026,544
3114,68.33333333333333,3
3115,53.11111111111111,16
3117,12.5,2
3123,61.60000000000001,8
3124,51.49999999999999,4
3126,39.06666666666667,15
3127,63.375,9
3128,53.73986486486487,332
3134,29.375,14
3138,28.5,5
3143,41.44444444444444,9
3147,45.833333333333336,6
3148,35.166666666666664,28
3150,64.00000000000001,11
3151,44,2
3154,17,34
3161,31.666666666666664,3
3162,91.5,6
3163,41.5,21
3164,100.5,4
3167,45.72727272727273,45
3168,47.85454545454543,79
3173,46.98449612403101,174
3176,89,3
3178,28.800000000000004,11
3179,39.5,8
3186,22.833333333333336,7
3188,34.13333333333333,60
3190,44.5,3
3191,30.25,22
3194,58.12499999999999,10
3198,119.5,2
3203,87.33333333333334,6
3212,40,11
3216,31.36363636363636,28
3221,45.857142857142854,11
3226,45.790123456790134,92
3227,46.5,4
3229,86,2
3230,45,2
3233,35.4,5
3237,46,2
3240,47.68000000000001,27
3244,20.833333333333332,16
3250,99,4
3251,16.5,2
3253,40.25000000000001,9
3254,47.66666666666668,27
3256,64.1111111111111,9
3257,52.833333333333336,6
3258,49.75,9
3267,52.33333333333333,3
3268,47.15625000000001,78
3275,68,4
3277,20.11111111111111,20
3278,22.75,5
3282,43,3
3285,27.548387096774192,107
3294,32.875,8
3296,35.26666666666667,43
3297,11,4
3298,26,2
3299,45.857142857142854,7
3306,23.75,8
3312,43.5,2
3316,53,4
3317,30.400000000000002,10
3320,50.00657894736843,216
3326,71.6,7
3327,28.25,11
3329,50.5,2
3331,41,6
3332,29,4
3333,31.257142857142863,45
3337,99,3
3338,64,7
3339,47.36363636363637,16
3341,38.01282051282053,119
3342,51.60000000000001,7
3343,55.21276595744681,48
3349,12,2
3353,29.5,3
3354,45.1,11
3355,15,3
3358,43.375,14
3359,39.11428571428572,46
3365,31.75,5
3366,37.5,6
3374,6,2
3378,29.5,2
3379,20.102564102564106,72
3380,73.33333333333333,7
3382,36.33333333333333,3
3388,19.5,2
3389,48.388888888888886,21
3391,42.31578947368422,25
3392,52.25,4
3394,30.5,2
3398,51.5625,21
3400,16.5,2
3403,47.3,12
3404,41.35714285714286,14
3407,32.25,5
3408,41.85365853658537,54
3411,67.5,2
3414,30.28571428571429,31
3415,25.473684210526315,25
3416,16.5,2
3420,33.33333333333333,3
3421,15,2
3423,38.44052863436124,323
3426,47.49999999999999,12
3430,86,3
3436,28,9
