"userID","itemID","Mean(date&time diff)","Sum(order)","Mean(TimeDifferencePerOrder)"
75,8716,52.33333333333333,4,13.083333333333332
75,10751,32,2,16
75,14291,61.5,2,30.75
75,14359,22.5,11,2.0454545454545454
75,18306,30,3,10
75,22417,1.5,2,0.75
75,25897,6,3,2
75,27664,36.666666666666664,5,7.333333333333333
75,28479,55.33333333333333,3,18.444444444444443
76,4603,77.5,9,8.61111111111111
76,5230,13.333333333333332,3,4.444444444444444
76,11130,97.5,3,32.5
76,11710,88,2,44
76,23050,84.5,2,42.25
76,23869,51.25,6,8.541666666666666
76,29829,66.5,3,22.166666666666668
77,2552,60,8,7.5
77,8543,34.5,8,4.3125
77,17750,60,3,20
77,26154,22,11,2
78,10961,15.5,2,7.75
78,12635,43.5,2,21.75
78,24555,16.5,6,2.75
79,3913,38.5,2,19.25
79,21146,39,3,13
79,21856,39,4,9.75
80,4496,33,2,16.5
80,5907,35,2,17.5
80,24716,33,2,16.5
80,30712,49,2,24.5
82,25592,1.5,3,0.5
85,2993,22,4,5.5
85,4549,80.5,5,16.1
85,9656,37.5,2,18.75
85,15119,36,16,2.25
85,23475,65,2,32.5
85,25992,48,8,6
85,30362,49.5,15,3.3
85,32349,56.5,6,9.416666666666666
86,5468,58.666666666666664,3,19.555555555555554
86,19681,6,2,3
89,833,20.5,2,10.25
89,1757,20.5,2,10.25
90,8779,58,2,29
90,9206,52.5,2,26.25
90,20150,45.33333333333333,4,11.333333333333332
91,550,6.5,3,2.1666666666666665
91,6261,16,2,8
91,6639,16,2,8
91,16433,40,12,3.3333333333333335
93,30362,26.5,3,8.833333333333334
94,1660,65,3,21.666666666666668
94,1782,18,3,6
94,2747,25.666666666666668,6,4.277777777777778
94,4314,42.5,2,21.25
94,17291,40,5,8
94,18457,49,4,12.25
94,20338,34.25,7,4.892857142857143
94,21838,38.5,4,9.625
94,24145,68.5,2,34.25
94,31893,59,2,29.5
95,15952,47,2,23.5
96,20233,39.33333333333333,9,4.37037037037037
97,2233,73.33333333333333,8,9.166666666666666
97,7341,110,2,55
97,19098,54.5,4,13.625
98,2617,9.5,2,4.75
99,5076,58.33333333333333,4,14.583333333333332
99,21017,74.5,2,37.25
100,5891,49,3,16.333333333333332
104,18775,69.5,4,17.375
106,2321,26.5,2,13.25
106,23621,61.33333333333333,3,20.444444444444443
106,31462,98,3,32.666666666666664
107,2321,65,2,32.5
107,14467,84.5,8,10.5625
107,22085,43.666666666666664,8,5.458333333333333
108,16128,46.666666666666664,3,15.555555555555555
108,18796,28,4,7
108,21690,55,2,27.5
108,22327,35,2,17.5
108,24466,62,2,31
109,395,26,2,13
109,5464,51.5,2,25.75
109,20750,51.5,2,25.75
109,24598,79.5,2,39.75
109,26381,15,2,7.5
109,27263,26,2,13
110,1821,38.8,8,4.85
110,11155,53.666666666666664,3,17.88888888888889
110,17422,37,2,18.5
110,17741,38.8,8,4.85
110,27470,65.5,2,32.75
110,27891,43.666666666666664,3,14.555555555555555
110,32349,80.5,3,26.833333333333332
111,12705,13,4,3.25
113,3659,46,6,7.666666666666667
113,13676,46,4,11.5
113,17419,61,3,20.333333333333332
114,3535,69.33333333333333,3,23.11111111111111
114,3601,50,3,16.666666666666668
114,4424,2,2,1
114,16971,56,2,28
114,18334,69.33333333333333,3,23.11111111111111
114,18954,32,2,16
114,21901,50.666666666666664,3,16.88888888888889
114,23112,14.5,2,7.25
114,28347,2,2,1
115,16403,40,2,20
115,19573,40,2,20
116,9408,76.33333333333333,3,25.444444444444443
116,25677,76.33333333333333,3,25.444444444444443
117,1970,45,2,22.5
117,2945,75,2,37.5
117,8772,75,2,37.5
117,10111,33.5,2,16.75
117,16402,75,4,18.75
117,31683,49,3,16.333333333333332
117,32204,45,4,11.25
118,5349,54,2,27
118,8949,41.5,2,20.75
118,11251,19.5,2,9.75
118,17054,34.5,2,17.25
118,19267,54,3,18
119,1732,21.5,3,7.166666666666667
119,5594,13.5,4,3.375
119,15048,13.5,4,3.375
119,26886,38,9,4.222222222222222
119,31702,46.25,10,4.625
120,19867,49,2,24.5
122,9215,23,2,11.5
122,12635,10,3,3.3333333333333335
124,5284,62,2,31
124,13676,62,2,31
124,20133,59.666666666666664,3,19.88888888888889
124,32635,61.5,2,30.75
126,4346,37,2,18.5
126,5260,56.33333333333333,5,11.266666666666666
126,11847,37,2,18.5
126,31354,2.5,13,0.19230769230769232
127,6079,41.33333333333333,3,13.777777777777777
128,8053,27.5,2,13.75
128,32090,23,2,11.5
129,12528,34,3,11.333333333333334
129,23582,73.66666666666666,15,4.9111111111111105
130,2446,42,5,8.4
130,6639,32,4,8
130,10376,67.5,2,33.75
130,15952,105,2,52.5
130,16215,32,4,8
130,17785,105,2,52.5
130,18586,51.33333333333333,3,17.11111111111111
130,22836,51.33333333333333,3,17.11111111111111
130,24236,49.5,4,12.375
130,26940,34.5,2,17.25
130,32300,56,4,14
131,23148,52.5,3,17.5
134,4595,59.5,9,6.611111111111111
134,5902,28,16,1.75
134,9904,86.5,2,43.25
134,29860,90.5,3,30.166666666666668
135,190,40.25,7,5.75
135,4455,26.5,10,2.65
135,13660,16,2,8
135,16809,29.5,3,9.833333333333334
135,18181,45.33333333333333,5,9.066666666666666
135,22174,27,3,9
136,18552,66.5,2,33.25
136,22198,21.5,2,10.75
136,25167,21,2,10.5
136,26494,31.4,5,6.279999999999999
139,2684,83,3,27.666666666666668
139,3594,100.5,2,50.25
139,14164,51,2,25.5
141,3191,61.5,2,30.75
141,12439,66.5,4,16.625
141,12773,20.5,7,2.9285714285714284
141,31392,66.5,2,33.25
142,5118,45,3,15
142,21154,88.5,2,44.25
143,6126,43,2,21.5
143,11566,43,2,21.5
143,20106,16.5,2,8.25
145,18003,35,4,8.75
148,31812,79,5,15.8
149,18630,52,2,26
149,19191,98.5,6,16.416666666666668
149,31265,56.33333333333333,4,14.083333333333332
150,11251,47,14,3.357142857142857
150,21776,47,2,23.5
151,14776,25.8,5,5.16
151,20131,28.875,8,3.609375
151,23050,15.666666666666664,3,5.222222222222221
151,23582,23.666666666666668,3,7.888888888888889
151,26494,32.666666666666664,3,10.888888888888888
151,30131,41.2,5,8.24
151,31979,49,2,24.5
151,32479,40.6,8,5.075
152,23534,96.5,7,13.785714285714286
153,552,84,7,12
153,10805,29.5,2,14.75
153,14369,29.5,3,9.833333333333334
153,23582,29.5,5,5.9
153,25422,29.5,2,14.75
153,26468,33,2,16.5
154,1252,42,4,10.5
154,2417,59,3,19.666666666666668
154,22582,60.25,4,15.0625
154,29657,40.75,31,1.314516129032258
154,31265,54.33333333333333,3,18.11111111111111
155,3656,73,7,10.428571428571429
155,6792,17,2,8.5
155,9102,63.33333333333333,3,21.11111111111111
155,10837,87.5,2,43.75
155,19129,25.249999999999996,19,1.3289473684210524
155,23838,38,11,3.4545454545454546
156,3011,42.33333333333333,5,8.466666666666665
156,3957,34,7,4.857142857142857
156,11251,56.666666666666664,6,9.444444444444445
156,12034,89,2,44.5
156,15357,44,3,14.666666666666666
157,29657,22,8,2.75
158,5900,39,2,19.5
158,27944,20,4,5
160,6261,59.5,2,29.75
160,19971,24,3,8
160,22341,88,7,12.571428571428571
160,23914,38,3,12.666666666666666
160,30511,24,2,12
161,10587,108.5,2,54.25
163,7504,83.5,2,41.75
164,7389,75.33333333333333,4,18.833333333333332
164,9757,51.24999999999999,7,7.32142857142857
164,11080,5,4,1.25
164,11309,51.24999999999999,7,7.32142857142857
164,23687,36.25,12,3.0208333333333335
164,30138,37,3,12.333333333333334
167,12528,39,2,19.5
167,13254,47.5,2,23.75
167,22542,47.5,2,23.75
168,3656,56,3,18.666666666666668
168,11710,47.5,2,23.75
169,875,47,2,23.5
169,4439,47,2,23.5
169,6923,47,4,11.75
169,20672,44.5,2,22.25
169,24716,48.666666666666664,5,9.733333333333333
169,29497,47,4,11.75
170,7032,31,2,15.5
170,11120,45.75,4,11.4375
170,24528,42.25,17,2.485294117647059
170,31850,43,2,21.5
170,32605,36.400000000000006,6,6.066666666666667
172,7190,6,2,3
173,3109,23,2,11.5
173,3979,65,2,32.5
173,10703,38,2,19
173,13561,88,4,22
173,14511,65,2,32.5
174,29657,74.5,8,9.3125
175,29660,40.5,5,8.1
177,233,6,2,3
177,7391,11,2,5.5
177,28260,48,2,24
180,29657,36,6,6
182,1732,39.33333333333333,3,13.111111111111109
182,3971,29,2,14.5
182,7553,66,2,33
182,8893,30,2,15
182,26689,83.5,2,41.75
184,1236,10,4,2.5
185,1802,66.5,2,33.25
185,20150,19,3,6.333333333333333
185,29657,34.166666666666664,12,2.847222222222222
186,28135,66,12,5.5
187,1970,110.5,2,55.25
187,28260,55,2,27.5
188,395,83,2,41.5
188,18630,72.66666666666666,3,24.222222222222218
189,2062,69,2,34.5
189,18630,69,4,17.25
190,24243,48.5,10,4.85
190,24972,48.5,4,12.125
190,26273,48.5,2,24.25
191,11088,62.5,2,31.25
192,6768,68,2,34
192,9729,52,2,26
192,12283,52,2,26
192,23582,61,6,10.166666666666666
192,25557,19,2,9.5
192,26378,91,2,45.5
192,28140,19,3,6.333333333333333
193,9429,30,2,15
193,20131,60,3,20
195,23348,72,2,36
195,25789,1,4,0.25
195,30691,72,2,36
196,8021,62.5,3,20.833333333333332
197,6261,56,2,28
197,7470,109,2,54.5
197,8779,31,2,15.5
197,12320,14,2,7
197,15013,29.666666666666664,5,5.933333333333333
197,15523,37.33333333333333,4,9.333333333333332
197,18796,54.5,7,7.785714285714286
197,19913,13,2,6.5
197,31679,14,2,7
201,17458,68.66666666666666,6,11.444444444444443
202,8439,70.5,5,14.1
202,18833,103.5,2,51.75
202,24763,25.5,2,12.75
202,26940,38.5,3,12.833333333333334
204,5221,29.5,2,14.75
205,28289,23.5,2,11.75
206,13027,53.666666666666664,3,17.88888888888889
206,30557,17.5,2,8.75
207,7283,48.5,2,24.25
207,30511,48.5,2,24.25
209,4482,40.33333333333333,3,13.444444444444443
209,6105,22,2,11
209,16269,29.75,4,7.4375
209,22836,55.5,2,27.75
209,28900,30,7,4.285714285714286
210,11251,43,3,14.333333333333334
210,16017,43,2,21.5
210,24716,56.5,3,18.833333333333332
213,5076,70,2,35
213,6261,70,3,23.333333333333332
213,22206,26.5,7,3.7857142857142856
213,28785,64.33333333333333,3,21.444444444444443
214,8399,28,2,14
214,13791,28,3,9.333333333333334
214,15944,28,2,14
215,10977,51.5,2,25.75
215,19517,77.5,2,38.75
215,27313,77.5,2,38.75
218,2446,64.5,2,32.25
218,11434,39.5,2,19.75
218,20150,15,4,3.75
218,29307,46.5,2,23.25
220,28298,1,7,0.14285714285714285
222,76,15.5,3,5.166666666666667
222,6227,15.5,2,7.75
224,31300,52,2,26
224,31849,31.5,6,5.25
225,219,10,2,5
225,778,68.66666666666666,3,22.888888888888886
225,4702,31.5,4,7.875
225,4832,15.5,4,3.875
225,6654,68,5,13.6
225,19043,22.333333333333332,3,7.444444444444444
225,20131,68,3,22.666666666666668
226,6923,54.5,14,3.892857142857143
226,22163,109,5,21.8
227,16582,16,3,5.333333333333333
227,24943,26.25,4,6.5625
228,5154,12,2,6
228,5981,51.5,2,25.75
228,9653,79,2,39.5
228,10548,87,2,43.5
228,19028,58,2,29
228,19681,82,2,41
228,25799,84,2,42
228,25859,12.5,2,6.25
228,31619,52.666666666666664,8,6.583333333333333
229,6792,56.33333333333333,5,11.266666666666666
229,23050,84.5,4,21.125
230,7503,2.6666666666666665,18,0.14814814814814814
231,15162,61.33333333333333,3,20.444444444444443
231,25150,61.33333333333333,3,20.444444444444443
231,27790,92,2,46
232,2065,43,2,21.5
232,3320,74,13,5.6923076923076925
232,6923,72.5,4,18.125
232,23582,37,22,1.6818181818181819
232,27629,43,2,21.5
232,29657,47.5,8,5.9375
233,31850,16,3,5.333333333333333
234,18169,45,2,22.5
236,4028,73,2,36.5
236,7728,4.5,2,2.25
236,10703,52.25,4,13.0625
236,13747,41.8,17,2.4588235294117644
236,15400,52.25,4,13.0625
236,21240,48.666666666666664,3,16.22222222222222
236,21573,31.666666666666664,7,4.523809523809524
236,24693,88.5,2,44.25
236,25993,19.5,2,9.75
236,26660,20,3,6.666666666666667
236,27659,69,4,17.25
236,28695,52.24999999999999,6,8.708333333333332
237,24140,74.5,14,5.321428571428571
239,11074,40,2,20
240,854,24.5,2,12.25
240,4889,49,2,24.5
240,7318,35.5,2,17.75
240,10846,0.3333333333333333,3,0.1111111111111111
240,11032,76,2,38
240,11556,0.3333333333333333,3,0.1111111111111111
240,12663,76,2,38
240,12993,28,2,14
240,24145,0.3333333333333333,3,0.1111111111111111
240,24763,0.3333333333333333,3,0.1111111111111111
240,26645,35.5,2,17.75
241,4726,14.5,2,7.25
241,8410,54,3,18
241,11088,27.333333333333332,3,9.11111111111111
241,20822,85,3,28.333333333333332
241,30506,85,8,10.625
243,637,54,2,27
243,16017,24,4,6
243,17701,20,2,10
243,17965,2.5,2,1.25
243,19441,23.999999999999996,12,1.9999999999999998
243,20478,28,2,14
243,28087,26,2,13
243,32714,60.666666666666664,3,20.22222222222222
244,10341,54.5,3,18.166666666666668
246,11251,98,4,24.5
248,875,57,2,28.5
248,6923,39.25,5,7.85
248,17256,29,2,14.5
248,27899,39.25,4,9.8125
248,28559,39.25,5,7.85
253,25576,64.5,2,32.25
253,32204,36,8,4.5
254,4035,86.5,9,9.61111111111111
255,15700,52.5,4,13.125
255,31246,52.5,4,13.125
256,2382,80,5,16
256,27263,59.33333333333333,3,19.777777777777775
257,4280,110.5,2,55.25
258,5330,41.5,2,20.75
258,7330,41.5,2,20.75
258,17645,56.33333333333333,3,18.777777777777775
261,1154,62.5,2,31.25
261,1947,80,2,40
261,2375,40,4,10
261,2446,22.5,2,11.25
261,2512,76.5,2,38.25
261,5852,48.75,4,12.1875
261,5962,51.33333333333333,3,17.11111111111111
261,7503,23.857142857142858,13,1.8351648351648353
261,8170,47.25,4,11.8125
261,10316,59.5,2,29.75
261,11691,37.666666666666664,3,12.555555555555555
261,14005,38.25,8,4.78125
261,14291,52.5,2,26.25
261,14644,39,5,7.8
261,16820,40,4,10
261,19121,22.5,7,3.2142857142857144
261,21380,31.499999999999996,6,5.249999999999999
261,22288,40,4,10
261,23198,27.857142857142858,7,3.979591836734694
261,24405,24.375,8,3.046875
261,26128,28,2,14
261,29331,47,2,23.5
261,31267,39.666666666666664,4,9.916666666666666
261,31300,30,2,15
262,19668,83.5,2,41.75
263,7979,18.5,2,9.25
263,11280,107.5,2,53.75
264,4539,30,2,15
264,7199,41,2,20.5
264,12192,26.666666666666664,9,2.962962962962963
264,13677,32,3,10.666666666666666
264,15567,30,2,15
264,17275,19,6,3.1666666666666665
264,17442,24.5,2,12.25
264,20630,24.5,2,12.25
266,11988,48.5,2,24.25
268,15048,58,7,8.285714285714286
268,31369,58,4,14.5
270,4815,57.33333333333333,4,14.333333333333332
270,7996,15.666666666666666,5,3.1333333333333333
270,13979,15.666666666666666,5,3.1333333333333333
270,16666,31.5,8,3.9375
270,25509,15.666666666666666,5,3.1333333333333333
271,1475,21.5,2,10.75
271,4705,94.5,2,47.25
271,20209,94.5,2,47.25
274,22925,26.400000000000002,5,5.28
274,28785,34,6,5.666666666666667
275,1236,50.75,6,8.458333333333334
275,21856,50.75,6,8.458333333333334
275,24236,39,2,19.5
275,28401,67,3,22.333333333333332
276,7976,26,2,13
276,15667,41.400000000000006,8,5.175000000000001
276,28708,47.8,5,9.559999999999999
276,31405,17,2,8.5
276,32186,30.999999999999996,3,10.333333333333332
277,2517,74.66666666666666,3,24.888888888888886
277,3320,6.5,2,3.25
277,11251,20.363636363636363,25,0.8145454545454546
277,15795,36.5,10,3.65
277,18796,48.33333333333333,3,16.11111111111111
277,19634,25,12,2.0833333333333335
277,19824,36.5,2,18.25
277,24254,13.333333333333334,3,4.444444444444445
277,25081,45.5,15,3.033333333333333
277,32204,37.666666666666664,4,9.416666666666666
278,12100,102,3,34
278,12733,102,2,51
278,26746,68,4,17
280,697,101.5,2,50.75
280,24716,53.5,2,26.75
283,19913,36,12,3
283,20594,21.5,7,3.0714285714285716
283,27882,7.5,2,3.75
285,28140,33,6,5.5
285,30486,33,4,8.25
286,9262,49.5,4,12.375
287,4621,37.5,2,18.75
287,14424,69.5,2,34.75
288,2113,38.33333333333333,11,3.4848484848484844
288,10254,0,3,0
288,14776,19.166666666666668,14,1.369047619047619
288,16972,56.5,2,28.25
288,22910,28.75,4,7.1875
288,24254,54.5,2,27.25
288,27221,24.5,10,2.45
288,29331,29,2,14.5
291,5603,36,2,18
291,9527,39,2,19.5
291,16629,49.5,2,24.75
294,10440,6.5,2,3.25
294,19971,94,4,23.5
294,26288,46.5,4,11.625
297,17110,59.5,10,5.95
300,16084,70.5,2,35.25
300,27852,40,3,13.333333333333334
300,29657,10,10,1
300,30331,27.5,2,13.75
301,9217,52.5,5,10.5
301,20131,44,6,7.333333333333333
301,20945,38.33333333333333,3,12.777777777777777
301,25497,41.5,2,20.75
302,29450,51.5,2,25.75
303,6057,21.5,2,10.75
303,15368,32.5,6,5.416666666666667
303,25978,32.5,2,16.25
303,26503,36.25,8,4.53125
304,8941,31,5,6.2
309,4862,47.5,4,11.875
309,17771,61.5,2,30.75
309,20131,19.5,2,9.75
311,29345,40.5,2,20.25
312,23,34.33333333333333,3,11.444444444444443
312,1970,56.33333333333333,3,18.777777777777775
312,2517,44,2,22
312,7318,48,9,5.333333333333333
312,10440,30,8,3.75
312,13676,46,2,23
312,18630,26,2,13
312,19382,37,3,12.333333333333334
312,22417,58.5,2,29.25
314,11135,49.5,2,24.75
314,20146,49.5,2,24.75
314,24401,92.5,2,46.25
314,24716,58,2,29
314,27830,61.666666666666664,5,12.333333333333332
315,29012,54.33333333333333,3,18.11111111111111
315,30690,65.5,2,32.75
317,17110,45.33333333333333,16,2.833333333333333
318,8425,63.5,3,21.166666666666668
318,27868,74,34,2.176470588235294
318,32021,38.5,2,19.25
319,6169,85.5,2,42.75
319,7503,33.33333333333333,3,11.111111111111109
319,19959,57,2,28.5
319,29570,53.666666666666664,3,17.88888888888889
319,29657,59.666666666666664,13,4.589743589743589
319,32752,58,4,14.5
320,29657,30.75,7,4.392857142857143
322,1970,39,2,19.5
322,32442,44.25,4,11.0625
324,1924,24.5,2,12.25
324,6738,13.5,2,6.75
324,12742,78.66666666666666,3,26.222222222222218
324,28137,33.33333333333333,90,0.3703703703703703
326,20343,14.5,2,7.25
326,27989,13.333333333333332,3,4.444444444444444
328,21690,64.5,2,32.25
329,19976,72,5,14.4
329,22094,37,3,12.333333333333334
329,27095,5,2,2.5
329,27745,107.5,3,35.833333333333336
329,29433,46.33333333333333,3,15.444444444444443
330,14815,4.5,5,0.9
330,18630,36,4,9
332,8004,58.666666666666664,5,11.733333333333333
332,29657,18.666666666666664,8,2.333333333333333
332,31262,88,2,44
333,20209,42,4,10.5
335,30546,49.5,4,12.375
336,604,62,3,20.666666666666668
336,877,40.33333333333333,4,10.083333333333332
336,12283,65,3,21.666666666666668
336,12528,81.5,2,40.75
336,16483,17,2,8.5
336,20594,37,2,18.5
336,32349,48.5,2,24.25
338,10341,46,7,6.571428571428571
339,5880,77.5,5,15.5
340,15491,79.5,2,39.75
340,24716,79.5,4,19.875
341,21146,29,3,9.666666666666666
341,26503,29,5,5.8
342,29657,10.5,4,2.625
344,3505,102.5,4,25.625
344,4660,19,2,9.5
344,6792,13,2,6.5
344,10598,52,5,10.4
344,12041,61,2,30.5
344,13791,63,5,12.6
344,14606,41,15,2.7333333333333334
344,18350,13,2,6.5
345,637,16.5,3,5.5
345,11199,41.60000000000001,22,1.8909090909090913
345,21305,67,3,22.333333333333332
345,28140,52,8,6.5
345,29084,48,2,24
346,352,32,2,16
346,4325,42,4,10.5
346,7460,52,7,7.428571428571429
346,13392,41,2,20.5
346,20834,27,2,13.5
346,26159,13.5,2,6.75
347,20378,14,2,7
347,29657,66.5,3,22.166666666666668
348,10910,44,3,14.666666666666666
348,27944,57.5,10,5.75
349,3128,56.5,2,28.25
349,8385,97.5,4,24.375
349,26941,48.5,2,24.25
350,4832,25.5,2,12.75
351,24890,65.5,2,32.75
353,2627,23.400000000000002,6,3.9000000000000004
353,6057,24.666666666666664,4,6.166666666666666
353,9938,32.666666666666664,13,2.5128205128205128
353,12192,4,2,2
353,12663,53.5,2,26.75
353,13306,53.5,2,26.75
353,14005,26.16666666666667,9,2.907407407407408
353,19976,35.666666666666664,4,8.916666666666666
353,20131,59,4,14.75
353,20751,45.25,5,9.05
353,23050,12.5,4,3.125
353,26851,20,2,10
353,28827,19.666666666666664,3,6.5555555555555545
354,24264,31.5,2,15.75
354,31571,27.400000000000002,6,4.566666666666667
357,2113,28.4,36,0.7888888888888889
357,20478,91.5,2,45.75
357,21589,91.5,2,45.75
357,22417,91.5,3,30.5
358,18283,14,4,3.5
358,26645,43,12,3.5833333333333335
360,918,50.5,3,16.833333333333332
360,10392,64.5,2,32.25
360,16331,50,4,12.5
360,19920,50.5,13,3.8846153846153846
360,30138,50,2,25
362,4280,35.4,5,7.08
362,4601,39.33333333333333,4,9.833333333333332
362,14777,52,3,17.333333333333332
363,6738,52,15,3.466666666666667
363,10507,46,7,6.571428571428571
363,20936,34.666666666666664,3,11.555555555555555
363,21903,22,2,11
363,26645,46,5,9.2
364,18815,59,4,14.75
367,5042,67,3,22.333333333333332
368,1311,31.42857142857143,12,2.619047619047619
368,22351,42.666666666666664,3,14.222222222222221
368,32204,22,4,5.5
369,5391,51.25,4,12.8125
369,9469,68.33333333333333,3,22.777777777777775
369,12528,51.33333333333333,3,17.11111111111111
369,18586,51.33333333333333,5,10.266666666666666
369,28140,22.5,2,11.25
370,2428,76.5,4,19.125
370,3027,28,3,9.333333333333334
370,13976,29,4,7.25
370,18630,90.5,5,18.1
370,24730,47.25,4,11.8125
370,31812,47.66666666666666,4,11.916666666666664
370,32007,69.66666666666666,10,6.966666666666666
371,5170,72,2,36
371,28210,72,4,18
372,14606,27.5,2,13.75
372,17785,79.33333333333333,3,26.444444444444443
372,18630,44.25,7,6.321428571428571
373,3072,71.33333333333333,10,7.133333333333333
373,6876,34,3,11.333333333333334
373,16059,25,2,12.5
373,20403,82,2,41
373,22085,82,2,41
373,24395,50.5,4,12.625
373,26389,25,2,12.5
373,30781,49,2,24.5
375,637,110.5,6,18.416666666666668
375,32204,48,13,3.6923076923076925
377,14424,65.66666666666666,3,21.888888888888886
377,19353,65.5,2,32.75
377,27263,48.75,4,12.1875
377,32204,36.33333333333334,33,1.1010101010101012
378,2517,52,5,10.4
378,4601,40.800000000000004,10,4.08
378,7195,78,2,39
378,9429,18,3,6
378,14211,52.5,2,26.25
378,15445,23,7,3.2857142857142856
378,19254,36,6,6
378,20515,23.5,2,11.75
378,24466,23,3,7.666666666666667
378,24953,32.25,5,6.45
379,5221,106.5,2,53.25
379,13676,53.25,4,13.3125
383,29345,41.25,6,6.875
383,31702,41.25,6,6.875
384,30448,47.5,11,4.318181818181818
